Volume Fraction,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Matrix Hardening Parameter,Temperature,Fiber Density,Fiber Elastic Modulus 1,Fiber Elastic Modulus 2,Fiber Elastic Modulus 3,Fiber Poisson 1,Fiber Poisson 2,Fiber Poisson 3,Fiber Shear 1,Fiber Shear 2,Fiber Shear 3,Density
0.01,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1492.8
0.02,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1495.6
0.03,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1498.4
0.04,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1501.2
0.05,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1504
0.06,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1506.8
0.07,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1509.6
0.08,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1512.4
0.09,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1515.2
0.1,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1518
0.11,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1520.8
0.12,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1523.6
0.13,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1526.4
0.14,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1529.2
0.15,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1532
0.16,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1534.8
0.17,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1537.6
