Volume Fraction,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Matrix Hardening Parameter,Temperature,Fiber Density,Fiber Elastic Modulus 1,Fiber Elastic Modulus 2,Fiber Elastic Modulus 3,Fiber Poisson 1,Fiber Poisson 2,Fiber Poisson 3,Fiber Shear 1,Fiber Shear 2,Fiber Shear 3,Elastic Modulus
0.01,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2704.419412
0.02,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2798.437945
0.03,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2847.583372
0.04,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2895.781369
0.05,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2946.525367
0.06,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3057.211572
0.07,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3113.331641
0.08,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3152.854606
0.09,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3211.920328
0.1,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3320.62458
0.11,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3387.183613
0.12,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3426.181081
0.13,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3541.808746
0.14,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3592.391022
0.15,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3671.456117
0.16,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3715.596671
0.17,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3855.440394
0.18,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3882.481272
0.19,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3954.754237
0.2,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4016.838906
0.21,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4144.425927
0.22,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4198.648397
0.23,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4303.783784
0.24,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4427.74833
0.25,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4481.482198
0.26,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4582.585238
0.27,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4676.605008
0.28,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4813.194099
0.29,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4893.61235
0.3,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4992.336413
0.31,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5017.094584
0.32,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5201.29422
0.33,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5342.83686
0.34,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5410.0517
0.35,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5612.116672
0.36,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5677.656193
0.37,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5745.048542
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5850.724669
0.39,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6137.8596
0.4,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6259.002328
0.41,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6379.535105
0.42,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6386.429556
0.43,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6745.033199
0.44,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6776.773423
0.45,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6892.786518
0.46,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7261.813021
0.47,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7343.762813
0.48,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7599.797033
0.49,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7694.1033
0.5,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,8035.490067
0.01,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2658.451131
0.02,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2756.111605
