Volume Fraction,Matrix Density ,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature ,Fiber Density,Fiber Elastic Modulus 1,Fiber Elastic Modulus 2,Fiber Elastic Modulus 3,Fiber Poisson 1,Fiber Poisson 2,Fiber Poisson 3,Fiber Shear 1,Fiber Shear 2,Fiber Shear 3,Composite Toughness
0.01,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,13.49437895
0.02,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,13.89041608
0.03,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.05878399
0.04,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.16664469
0.05,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.41104269
0.06,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.65066833
0.07,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.73787666
0.08,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.85596424
0.09,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.9692609
0.1,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.2049818
0.11,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.09755939
0.12,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.28457927
0.13,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.2876163
0.14,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.4127149
0.15,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.25197618
0.16,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.30933422
0.17,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.10596419
0.18,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.39045035
0.19,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.20362645
0.2,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.2569295
0.21,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.32151737
0.22,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.19518827
0.23,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.20415061
0.24,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.94236645
0.25,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.05985287
0.26,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.90384456
0.27,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,15.06237396
0.28,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.84144757
0.29,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.57687746
0.3,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.52139243
0.31,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.51707824
0.32,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.33397036
0.33,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.38455499
0.34,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.33454015
0.35,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,13.91299527
0.36,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,14.05716195
