Volume fraction,Matrix Young's modulus,Matrix Poisson ratio,Fiber Young's modulus,Fiber Poisson ratio,Matrix tensile strengh,Fiber tensile strengh,Fiber Shape,Fiber Length,Composite tensile stregth
0.05,5.35,0.354,232,0.279,86.6,5532,1,1,193.10715
0.1,5.35,0.354,232,0.279,86.6,5532,1,1,439.65065
0.15,5.35,0.354,232,0.279,86.6,5532,1,1,632.7578
0.2,5.35,0.354,232,0.279,86.6,5532,1,1,825.86495
0.25,5.35,0.354,232,0.279,86.6,5532,1,1,1037.638225
0.3,5.35,0.354,232,0.279,86.6,5532,1,1,1249.4115
0.35,5.35,0.354,232,0.279,86.6,5532,1,1,1463.51015
0.4,5.35,0.354,232,0.279,86.6,5532,1,1,1677.6088
0.45,5.35,0.354,232,0.279,86.6,5532,1,1,1894.9856
0.5,5.35,0.354,232,0.279,86.6,5532,1,1,2112.3624
0.55,5.35,0.354,232,0.279,86.6,5532,1,1,2334.9231
0.6,5.35,0.354,232,0.279,86.6,5532,1,1,2557.4838
0.65,5.35,0.354,232,0.279,86.6,5532,1,1,2761.2438
0.7,5.35,0.354,232,0.279,86.6,5532,1,1,2965.0038
0.05,5.35,0.354,232,0.279,86.6,5532,2,1,226.8178
0.1,5.35,0.354,232,0.279,86.6,5532,2,1,495.1192
0.15,5.35,0.354,232,0.279,86.6,5532,2,1,721.937
0.2,5.35,0.354,232,0.279,86.6,5532,2,1,948.7548
0.25,5.35,0.354,232,0.279,86.6,5532,2,1,1127.75475
0.3,5.35,0.354,232,0.279,86.6,5532,2,1,1306.7547
0.35,5.35,0.354,232,0.279,86.6,5532,2,1,1539.76295
0.4,5.35,0.354,232,0.279,86.6,5532,2,1,1772.7712
0.45,5.35,0.354,232,0.279,86.6,5532,2,1,1994.5456
0.5,5.35,0.354,232,0.279,86.6,5532,2,1,2216.32
0.55,5.35,0.354,232,0.279,86.6,5532,2,1,2392.2973
0.6,5.35,0.354,232,0.279,86.6,5532,2,1,2568.2746
0.65,5.35,0.354,232,0.279,86.6,5532,2,1,2789.5964
