Volume Fraction,Matrix Material,Fibre Material,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Composite Elastic Modulus
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,4.21,1,3151.8658
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,4.21,1,3151.8658
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,4.21,1,3151.8657
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,4.21,1,3056.1521
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,4.21,1,3056.1521
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,4.21,1,3056.1519
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,4.21,1,3117.5446
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,4.21,1,3117.5446
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,4.21,1,3117.5445
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,4.21,1,3068.8294
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,4.21,1,3068.8294
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,4.21,1,3068.8294
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,5.95,1,3495.0303
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,5.95,1,3495.0303
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,5.95,1,3495.0303
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,5.95,1,3396.6234
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,5.95,1,3396.6234
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,5.95,1,3396.6234
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,5.95,1,3460.3513
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,5.95,1,3460.3513
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,5.95,1,3460.351
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,5.95,1,3411.1
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,5.95,1,3411.1
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,5.95,1,3411.0999
