Volume Fraction,Matrix Material,Fibre Material,Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Type,Resilience
0.05,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,3.9641
0.05,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,3.9577
0.05,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,3.8836
0.05,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,4.0296
0.05,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,3.9896
0.05,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,4.0257
0.05,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,4.0274
0.05,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,4.0016
0.05,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,4.0262
0.05,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,4.0427
0.05,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,4.009
0.05,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,4.0443
0.1,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,3.4198
0.1,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,3.422
0.1,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,3.4247
0.1,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,3.4936
0.1,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,3.4913
0.1,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,3.4913
0.1,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,3.4511
0.1,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,3.45
0.1,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,3.4511
0.1,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,3.4884
0.1,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,3.4762
0.1,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,3.4762
0.15,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,2.9348
0.15,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,2.9348
0.15,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,2.9037
0.15,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,3.028
0.15,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,3.0323
0.15,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,2.9974
0.15,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,2.9717
0.15,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,2.9751
0.15,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,2.9501
0.15,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,3.0127
0.15,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,3.0164
0.15,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,2.9564
0.2,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,2.7106
0.2,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,2.7112
0.2,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,2.6899
0.2,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,2.8072
0.2,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,2.799
0.2,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,2.805
0.2,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,2.7437
0.2,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,2.7343
0.2,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,2.7283
0.2,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,2.7894
0.2,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,2.7699
0.2,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,2.7838
