Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size, Composite Ultimate Strength (MPa)
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,4.21,1,6,166.9307
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,4.21,1,6,167.8350
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,4.21,1,6,168.0916
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,4.21,1,6,165.6115
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,4.21,1,6,167.5470
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,4.21,1,6,167.9522
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,4.21,1,6,167.0711
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,4.21,1,6,168.2280
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,4.21,1,6,168.5076
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,4.21,1,6,166.3026
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,4.21,1,6,168.0626
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,4.21,1,6,168.4334
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,5.95,1,6,168.9813
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,5.95,1,6,170.0286
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,5.95,1,6,170.4675
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,5.95,1,6,168.4441
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,5.95,1,6,169.8271
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,5.95,1,6,170.2719
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,5.95,1,6,168.8425
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,5.95,1,6,169.9586
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,5.95,1,6,170.3889
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,5.95,1,6,168.5430
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,5.95,1,6,169.8548
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,5.95,1,6,170.2925
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,7.29,1,6,170.2817
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,7.29,1,6,171.7691
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,7.29,1,6,172.3223
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,7.29,1,6,170.0225
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,7.29,1,6,171.5856
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,7.29,1,6,172.1106
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,7.29,1,6,170.2054
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,7.29,1,6,171.6989
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,7.29,1,6,172.2384
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,7.29,1,6,170.0673
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,7.29,1,6,171.6070
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,7.29,1,6,172.1326
0.2,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,8.4,1,6,173.8098
0.2,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,8.4,1,6,175.8329
0.2,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,8.4,1,6,176.8026
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,8.4,1,6,173.5770
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,8.4,1,6,175.6102
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,8.4,1,6,176.5610
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,8.4,1,6,173.7330
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,8.4,1,6,175.7494
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,8.4,1,6,176.7124
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,8.4,1,6,173.6132
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,8.4,1,6,175.6381
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,8.4,1,6,176.5897
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,9.41,1,6,186.1895
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,9.41,1,6,191.0316
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,9.41,1,6,193.1186
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,9.41,1,6,185.5735
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,9.41,1,6,190.4905
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,9.41,1,6,192.6133
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,9.41,1,6,185.9801
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,9.41,1,6,190.8428
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,9.41,1,6,192.9434
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,9.41,1,6,185.6752
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,9.41,1,6,190.5720
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,9.41,1,6,192.6855
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.3,1,6,192.8421
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,10.3,1,6,197.6578
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,10.3,1,6,199.7451
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,10.3,1,6,192.0721
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,10.3,1,6,197.1357
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,10.3,1,6,199.2662
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.3,1,6,192.5757
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,10.3,1,6,197.4757
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,10.3,1,6,199.5810
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.3,1,6,192.1876
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,10.3,1,6,197.2077
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,10.3,1,6,199.3305
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.13,1,6,218.6039
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.13,1,6,224.0711
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.13,1,6,226.1633
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.13,1,6,217.6213
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.13,1,6,223.5346
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.13,1,6,225.7282
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.13,1,6,218.2813
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.13,1,6,223.8897
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.13,1,6,226.0249
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.13,1,6,217.7929
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.13,1,6,223.6116
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.13,1,6,225.7900
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.9,1,6,243.2841
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.9,1,6,249.8830
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.9,1,6,252.7067
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.9,1,6,241.8502
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.9,1,6,249.1570
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.9,1,6,252.0818
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.9,1,6,242.8219
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.9,1,6,249.6405
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.9,1,6,252.5143
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.9,1,6,242.0983
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.9,1,6,249.2580
