Volume Fraction,Matrix Material,Fibre Material,Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Type,Composite Yield Strain
0.05,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,0.05115
0.05,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,0.05115
0.05,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,0.05065
0.05,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,0.0524
0.05,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,0.0521
0.05,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,0.05235
0.05,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,0.05185
0.05,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,0.0517
0.05,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,0.05185
0.05,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,0.05235
0.05,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,0.05215
0.05,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,0.05237
0.1,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,0.04525
0.1,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,0.04525
0.1,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,0.0453
0.1,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,0.04635
0.1,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,0.04635
0.1,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,0.04635
0.1,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,0.04565
0.1,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,0.04565
0.1,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,0.04565
0.1,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,0.04625
0.1,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,0.04615
0.1,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,0.04615
0.15,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,0.0397
0.15,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,0.0397
0.15,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,0.03955
0.15,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,0.0409
0.15,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,0.04095
