Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size,Composite Yield Strength (Mpa)
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,4.21,1,6,155.0000
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,4.21,1,6,154.7500
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,4.21,1,6,153.3500
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,4.21,1,6,153.8000
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,4.21,1,6,153.1500
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,4.21,1,6,153.8000
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,4.21,1,6,155.3500
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,4.21,1,6,154.8000
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,4.21,1,6,155.3000
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,4.21,1,6,154.4500
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,4.21,1,6,153.7500
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,4.21,1,6,154.4500
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,5.95,1,6,151.1500
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,5.95,1,6,151.2500
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,5.95,1,6,151.2000
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,5.95,1,6,150.7500
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,5.95,1,6,150.6500
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,5.95,1,6,150.6500
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,5.95,1,6,151.2000
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,5.95,1,6,151.1500
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,5.95,1,6,151.2000
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,5.95,1,6,150.8500
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,5.95,1,6,150.6500
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,5.95,1,6,150.6500
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,7.29,1,6,147.8500
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,7.29,1,6,147.8500
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,7.29,1,6,147.2000
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,7.29,1,6,148.0700
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,7.29,1,6,148.1000
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,7.29,1,6,147.2200
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,7.29,1,6,148.0300
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,7.29,1,6,148.2000
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,7.29,1,6,147.4700
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,7.29,1,6,148.0100
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,7.29,1,6,148.0800
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,7.29,1,6,146.5400
