FT,y_test,y_pred
1,0.3193,0.3166885
1,0.5926,0.585971
1,0.2853,0.2989358
1,0.616,0.61619127
1,0.3267,0.33021134
1,0.4833,0.49068937
1,0.6073,0.606156
1,2.4724,2.4692345
1,2.9717,2.975491
1,0.8627,0.8449501
1,2.5793,2.577077
1,0.5926,0.59690183
1,2.0459,2.08426
1,0.7611,0.7612783
1,0.6514,0.64779735
1,2.9348,2.9444513
1,0.3121,0.31386238
1,0.3465,0.3493802
1,0.6374,0.63103026
1,2.4457,2.4607763
1,0.8655,0.8501677
1,0.5707,0.5647898
2,1.118,1.081925
2,1.2195,1.2448375
2,0.2059,0.2055422
2,0.8067,0.8128888
2,0.6209,0.6225452
2,0.3295,0.33358675
2,1.868,1.8296307
2,0.3316,0.32558107
2,1.7214,1.7074231
2,0.2121,0.21460132
2,0.2283,0.21777488
2,0.3474,0.3534107
2,1.424,1.4608123
2,0.4109,0.41058072
2,0.2279,0.21864177
2,0.2388,0.23150167
2,0.2419,0.23311326
2,0.404,0.39575702
2,2.0231,1.9972681
2,0.2939,0.2899938
2,0.4255,0.42661953
2,1.8413,1.796135
