Volume Fraction,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Matrix Hardening Parameter,Temperature,Fiber Density,Fiber Elastic Modulus 1,Fiber Elastic Modulus 2,Fiber Elastic Modulus 3,Fiber Poisson 1,Fiber Poisson 2,Fiber Poisson 3,Fiber Shear 1,Fiber Shear 2,Fiber Shear 3,Resilience
0.01,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,12.35524927
0.02,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.98563524
0.03,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.76149218
0.04,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.42549189
0.05,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.84838191
0.06,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.41622591
0.07,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.29012
0.08,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.51967254
0.09,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.36548263
0.1,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.80214126
0.11,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,10.83623467
0.12,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,11.22926638
0.13,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,10.64874009
0.14,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,10.68570086
0.15,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,9.956607248
0.16,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,9.27395464
0.17,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,8.786770906
0.18,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,9.936567334
0.19,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,9.088681631
0.2,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,9.133652962
0.21,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,8.079783904
0.22,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.809385018
0.23,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.62631401
0.24,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.589037773
0.25,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.81089355
0.26,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.118724123
0.27,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,8.395086633
0.28,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,8.335671416
0.29,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,8.006837323
0.3,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.645606436
0.31,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.64307354
0.32,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.671367129
0.33,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.394588151
0.34,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.679350341
0.35,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.832014313
0.36,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.171346583
0.37,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.747719869
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.060982633
0.39,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.262468731
0.4,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.36942756
0.41,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.998762266
0.42,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.357428688
0.43,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.583433503
0.44,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.748500134
0.45,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.145083515
0.46,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.615417657
0.47,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.683925068
0.48,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.620340959
0.49,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.845002459
0.5,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.265192561
0.01,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.054179073
0.02,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.812001382
0.03,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.922985148
0.04,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.81310426
