Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Tensile Strength 
0.05,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,4.21,6,166.9306647
0.05,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,4.21,6,167.8350221
0.05,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,4.21,6,168.091648
0.05,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,4.21,6,165.6115167
0.05,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,4.21,6,167.5470176
0.05,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,4.21,6,167.9522267
0.05,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,4.21,6,167.0710821
0.05,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,4.21,6,168.2280284
0.05,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,4.21,6,168.5076443
0.05,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,4.21,6,166.3025676
0.05,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,4.21,6,168.0626287
0.05,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,4.21,6,168.4333789
0.1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,5.95,6,168.9813385
0.1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,5.95,6,170.0286038
0.1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,5.95,6,170.4674984
0.1,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,5.95,6,168.4441137
0.1,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,5.95,6,169.8270937
0.1,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,5.95,6,170.2718865
0.1,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,5.95,6,168.8425071
0.1,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,5.95,6,169.9586114
0.1,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,5.95,6,170.3889469
