Volume Fraction,Matrix Poisson's Ratio,Matrix Yield Strength,Matrix Hardening Parameter,Temperature,Filler Poisson,Toughness
0.38,0.38,252.04918,0.545587608,233,0.2,13.7502378
0.38,0.38,149.590164,0.431151575,273,0.2,6.792851138
0.38,0.38,106.557377,0.444529483,298,0.2,4.569853836
0.38,0.38,79.918033,0.346129167,333,0.2,3.34056053
0.38,0.38,43.032787,0.277230974,393,0.2,1.879041986
0.38,0.38,252.04918,0.545587608,233,0.2,14.4853999
0.38,0.38,149.590164,0.431151575,273,0.2,7.194038408
0.38,0.38,106.557377,0.444529483,298,0.2,4.845308234
0.38,0.38,79.918033,0.346129167,333,0.2,3.549648962
0.38,0.38,43.032787,0.277230974,393,0.2,1.93352162
0.38,0.38,252.04918,0.545587608,233,0.35,13.31007663
0.38,0.38,149.590164,0.431151575,273,0.35,6.555915258
0.38,0.38,106.557377,0.444529483,298,0.35,4.406752754
0.38,0.38,79.918033,0.346129167,333,0.35,3.215350884
0.38,0.38,43.032787,0.277230974,393,0.35,1.840063316
0.38,0.38,252.04918,0.545587608,233,0.35,14.38991275
0.38,0.38,149.590164,0.431151575,273,0.35,7.137751434
0.38,0.38,106.557377,0.444529483,298,0.35,4.806273342
0.38,0.38,79.918033,0.346129167,333,0.35,3.520113368
0.38,0.38,43.032787,0.277230974,393,0.35,1.926086688
0.37,0.37,89.655172,0.22999764,233,0.2,3.483640918
0.37,0.37,77.586207,0.23256682,273,0.2,2.88907458
0.37,0.37,67.241379,0.544620657,298,0.2,2.55032782
0.37,0.37,62.068966,0.346699482,333,0.2,1.958573426
0.37,0.37,46.551724,0.285243921,393,0.2,4.760125326
0.37,0.37,89.655172,0.22999764,233,0.2,3.589819228
0.37,0.37,77.586207,0.23256682,273,0.2,2.998051954
0.37,0.37,67.241379,0.544620657,298,0.2,2.631615214
0.37,0.37,62.068966,0.346699482,333,0.2,2.009975512
0.37,0.37,46.551724,0.285243921,393,0.2,4.554287234
0.37,0.37,89.655172,0.22999764,233,0.35,3.407209474
0.37,0.37,77.586207,0.23256682,273,0.35,2.811823192
0.37,0.37,67.241379,0.544620657,298,0.35,2.490831912
0.37,0.37,62.068966,0.346699482,333,0.35,1.925012458
0.37,0.37,46.551724,0.285243921,393,0.35,4.745049378
0.37,0.37,89.655172,0.22999764,233,0.35,3.575555348
0.37,0.37,77.586207,0.23256682,273,0.35,2.982821174
0.37,0.37,67.241379,0.544620657,298,0.35,2.620110586
0.37,0.37,62.068966,0.346699482,333,0.35,2.00314676
0.37,0.37,46.551724,0.285243921,393,0.35,13.77531318
0.36,0.36,252.04918,0.545587608,233,0.2,4.654430198
0.36,0.36,149.590164,0.431151575,273,0.2,3.974589198
0.36,0.36,106.557377,0.444529483,298,0.2,1.696683412
0.36,0.36,79.918033,0.346129167,333,0.2,14.47046569
0.36,0.36,43.032787,0.277230974,393,0.2,7.078952672
0.36,0.36,252.04918,0.545587608,233,0.2,4.905433464
0.36,0.36,149.590164,0.431151575,273,0.2,4.122479264
0.36,0.36,106.557377,0.444529483,298,0.2,1.759237216
0.36,0.36,79.918033,0.346129167,333,0.2,13.33573029
0.36,0.36,43.032787,0.277230974,393,0.2,6.458161136
0.36,0.36,252.04918,0.545587608,233,0.35,4.49886427
0.36,0.36,149.590164,0.431151575,273,0.35,3.870630422
0.36,0.36,106.557377,0.444529483,298,0.35,1.65504825
0.36,0.36,79.918033,0.346129167,333,0.35,14.38145594
0.36,0.36,43.032787,0.277230974,393,0.35,7.025114522
0.36,0.36,252.04918,0.545587608,233,0.35,4.869619966
0.36,0.36,149.590164,0.431151575,273,0.35,4.101959
0.36,0.36,106.557377,0.444529483,298,0.35,4.98003427
0.36,0.36,79.918033,0.346129167,333,0.35,4.19250277
0.36,0.36,43.032787,0.277230974,393,0.35,1.787407338
