Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature (K),Filler Density (kg/m^3),Filler Elastic Modulus 1,Filler Poisson 1,Composite Elastic Modulus (MPa),Toughness
0.38,1490,2662.557781,252.04918,0.545587608,233,1770,220000,0.2,5850.724669,13.7502378
0.38,1490,2621.468927,149.590164,0.431151575,273,1770,220000,0.2,5765.233119,6.792851138
0.38,1490,2576.271186,79.918033,0.346129167,333,1770,220000,0.2,5663.617333,3.34056053
0.38,1490,1152.542373,43.032787,0.277230974,393,1770,220000,0.2,2613.935911,1.879041986
0.38,1490,2621.468927,149.590164,0.431151575,273,2540,75000,0.2,5740.886071,7.194038408
0.38,1490,2542.372881,106.557377,0.444529483,298,2540,75000,0.2,5578.698044,4.845308234
0.38,1490,1152.542373,43.032787,0.277230974,393,2540,75000,0.2,2621.313393,1.93352162
0.38,1490,2662.557781,252.04918,0.545587608,233,1470,150000,0.35,5511.403383,13.31007663
0.38,1490,2542.372881,106.557377,0.444529483,298,1470,150000,0.35,5275.026528,4.406752754
0.38,1490,2576.271186,79.918033,0.346129167,333,1470,150000,0.35,5331.466214,3.215350884
0.38,1490,2662.557781,252.04918,0.545587608,233,2530,85000,0.35,5849.356085,14.38991275
0.38,1490,2621.468927,149.590164,0.431151575,273,2530,85000,0.35,5751.144647,7.137751434
0.38,1490,2576.271186,79.918033,0.346129167,333,2530,85000,0.35,5654.845214,3.520113368
0.38,1490,1152.542373,43.032787,0.277230974,393,2530,85000,0.35,2623.461036,1.926086688
0.37,1200,1354.231975,77.586207,0.23256682,273,1770,220000,0.2,2970.82397,2.88907458
0.37,1200,1655.172414,67.241379,0.544620657,298,1770,220000,0.2,3599.805361,2.55032782
0.37,1200,1075.862069,46.551724,0.285243921,393,1770,220000,0.2,2373.369611,4.760125326
0.37,1200,1186.206897,89.655172,0.22999764,233,2540,75000,0.2,2615.469621,3.589819228
0.37,1200,1655.172414,67.241379,0.544620657,298,2540,75000,0.2,3597.722347,2.631615214
0.37,1200,1396.551724,62.068966,0.346699482,333,2540,75000,0.2,3063.291444,2.009975512
0.37,1200,1186.206897,89.655172,0.22999764,233,1470,150000,0.35,2514.074375,3.407209474
0.37,1200,1354.231975,77.586207,0.23256682,273,1470,150000,0.35,2850.425258,2.811823192
0.37,1200,1396.551724,62.068966,0.346699482,333,1470,150000,0.35,2934.606667,1.925012458
0.37,1200,1075.862069,46.551724,0.285243921,393,1470,150000,0.35,2289.052444,4.745049378
0.37,1200,1354.231975,77.586207,0.23256682,273,2530,85000,0.35,2974.152485,2.982821174
