FT,y_test,y_pred
1,66.8678,66.886024
1,107.1132,106.49535
1,71.6155,74.2417
1,97.8992,98.06769
1,46.8157,46.788837
1,104.0014,105.674835
1,87.9517,86.897415
1,218.6039,217.94116
1,170.2054,169.7348
1,65.4173,65.49458
1,217.7929,217.79247
1,77.8354,77.81043
1,262.4064,279.48468
1,66.2472,66.17001
1,69.0438,69.35129
1,170.2817,169.72438
1,52.9736,53.288082
1,45.6498,45.515285
1,74.9849,74.763596
1,192.8421,196.5381
1,65.3956,65.428246
1,105.8864,105.02465
2,367.4733,341.16544
2,252.6196,252.30972
2,75.977,79.72578
2,60.5333,60.630455
2,62.4758,62.838383
2,86.823,86.41689
2,171.9462,165.86813
2,169.883,166.8927
2,172.5027,166.51015
2,54.776,54.472683
2,127.8745,118.135056
2,79.8703,80.126
2,198.198,198.56767
2,71.2887,72.25976
2,125.9525,116.78854
2,56.0025,55.31091
2,55.9352,55.297222
2,81.5863,80.31207
2,161.0968,161.23793
2,43.1763,43.370094
2,71.2683,72.225914
2,172.0292,165.86813
