Volume Fraction,Matrix Type,Fibre Type,Matrix Elastic Modulus,Matrix Poisson Ratio,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Shape,Resilience
0.08167436,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,1.0,3.0835872
0.11371442,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.18963568
0.063845,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.18974116
0.32748246,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.2,1.0,2.6459665
0.46795827,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,2.1798556
0.44458273,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,2.2651737
0.4175035,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,2.0,0.18847641
0.07414547,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,2.0,2.2388701
0.35533044,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,2.0,0.18848546
0.24682191,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.18973517
0.2545472,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.18972763
0.48080403,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,2.0,0.18848546
0.30394724,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,2.601648
0.37848374,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.2,1.0,0.1895726
0.25038093,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,2.94572
0.38134858,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,1.3008568
0.14303625,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,2.0,0.18854053
0.33142525,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.19010629
0.22497563,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.18968649
0.0959217,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,1.0,0.19031405
0.30282003,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.19010091
0.25805852,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.2,1.0,0.18926528
0.3379508,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.18963405
0.47193953,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,1.0,0.18956165
0.12849396,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.18854487
0.41455537,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,2.0,0.188564
0.371956,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,1.0,2.6619701
0.053056866,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.19221044
0.46497127,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.3,1.0,0.18943815
0.31742048,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,2.0,0.18848546
0.44455913,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.2,1.0,2.3549123
0.38068864,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.19004942
