Volume Fraction,Matrix Type,Fibre Type,Matrix Elastic Modulus,Matrix Poisson Ratio,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Shape,Composite Yield Strain
0.46476448,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,1.0,0.023485377
0.24841914,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.017361473
0.33497688,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.016273461
0.13273515,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.2,1.0,0.041445076
0.07357064,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.3,1.0,0.044141077
0.07755198,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,0.042398717
0.24880357,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,2.0,0.010708526
0.4571782,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,2.0,0.018274859
0.3345629,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,2.0,0.012707177
0.14377597,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.022660602
0.17793229,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.022359952
0.45214552,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,2.0,0.010346362
0.08431236,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,0.04218759
0.17050764,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.2,1.0,0.021264905
0.49498495,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,0.014609923
0.072389655,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.038491614
0.073643334,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,2.0,0.022961311
0.36340198,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.015194987
0.21212158,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.3,1.0,0.015059161
0.12576722,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,1.0,0.02198632
0.0733906,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.02591452
0.2477643,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.2,1.0,0.019359607
0.47668302,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.012402043
0.3521926,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,1.0,0.01743184
0.4950378,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.009031942
0.16191167,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,2.0,0.017558407
0.06731977,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,1.0,0.043155942
0.2961441,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.0181844
0.08183915,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.3,1.0,0.018491395
0.4620454,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,2.0,0.010346362
0.35047212,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.2,1.0,0.029610671
0.26981348,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.012632543
0.49047998,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.009031942
0.3004797,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.018681245
0.05494104,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.2,1.0,0.024454813
0.08053501,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.3,1.0,0.018063253
0.26796192,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.3,1.0,0.018786553
0.39856252,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.010374099
0.21231818,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.029316196
0.21224385,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.014505556
0.25539047,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,0.03196121
0.13401192,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.1,1.0,0.024121063
0.27454776,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.019173991
0.20776275,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.021102104
0.43143746,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,2.0,0.008791417
0.43471038,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,2.0,0.011397151
0.18956037,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,0.035552863
0.27418423,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.019450305
0.49349114,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.2,1.0,0.010082859
0.2524261,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.012999213
0.18787508,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.021102104
0.10732255,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.2,1.0,0.03937874
0.23238546,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.018040542
0.17960961,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.1,2.0,0.016779935
0.30425003,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.017409215
0.13614243,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.017578268
0.48524812,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.2,1.0,0.017924026
0.48174235,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,1.0,0.011700859
0.14475709,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.3,1.0,0.035006676
0.10799386,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,1.0,0.017893434
0.48915678,3.0,3.0,2070.0,0.36,1470,150000,0.35,0.2,1.0,0.011337224
0.4052055,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.2,1.0,0.024548711
0.47321588,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,1.0,0.011436542
0.32866883,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.2,1.0,0.01150358
0.083202794,1.0,4.0,2662.557781,0.38,2530,85000,0.21,0.1,1.0,0.04260342
0.3763671,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.1,2.0,0.011935849
0.1340744,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,1.0,0.02198632
0.07077447,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.1,1.0,0.02126816
0.21367222,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.2,1.0,0.020152874
0.45089513,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.3,1.0,0.013441589
0.097828016,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.2,1.0,0.023613553
0.19897819,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.3,1.0,0.02069438
0.093054116,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.019804964
0.39467156,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.1,2.0,0.012786814
0.0678834,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.2,1.0,0.029440258
0.16766836,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.1,2.0,0.016945377
0.2590118,3.0,2.0,2070.0,0.36,2540,75000,0.22,0.3,1.0,0.018693818
0.14972268,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.038207684
0.44653782,2.0,3.0,2000.0,0.37,1470,150000,0.35,0.3,1.0,0.012824439
0.24649438,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.1,1.0,0.020733679
0.21802092,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.020702515
0.22663528,4.0,1.0,1890.0,0.4,1770,220000,0.2,0.1,1.0,0.013068329
0.49581614,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.01725755
0.4417347,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,2.0,0.016493378
0.13328174,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,0.039169487
0.08517425,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.04119512
0.46036044,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.009573114
0.4777013,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.010843622
0.07995897,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.1,2.0,0.037976608
0.35747397,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.1,2.0,0.013097826
0.45012197,1.0,1.0,2662.557781,0.38,1770,220000,0.2,0.3,1.0,0.021942783
0.4548507,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.017666858
0.2270137,4.0,3.0,1890.0,0.4,1470,150000,0.35,0.1,1.0,0.013133531
0.41062397,4.0,2.0,1890.0,0.4,2540,75000,0.22,0.2,1.0,0.01070627
0.4260234,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.3,1.0,0.01494501
0.1421295,3.0,1.0,2070.0,0.36,1770,220000,0.2,0.3,1.0,0.022071537
0.4232474,2.0,1.0,2000.0,0.37,1770,220000,0.2,0.1,2.0,0.011195113
0.25854525,3.0,4.0,2070.0,0.36,2530,85000,0.21,0.2,1.0,0.017259263
0.48682633,4.0,4.0,1890.0,0.4,2530,85000,0.21,0.1,1.0,0.009031969
0.19313505,2.0,4.0,2000.0,0.37,2530,85000,0.21,0.2,1.0,0.02003331
0.17670113,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.2,1.0,0.037960146
0.11811072,1.0,2.0,2662.557781,0.38,2540,75000,0.22,0.1,1.0,0.038188882
0.21576485,1.0,3.0,2662.557781,0.38,1470,150000,0.35,0.1,2.0,0.029316196
0.19144928,2.0,2.0,2000.0,0.37,2540,75000,0.22,0.2,1.0,0.022169696
