Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Composite Elastic Modulus (MPa)
0.05,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,4.21,6,3151.865774
0.05,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,4.21,6,3151.865774
0.05,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,4.21,6,3151.865665
0.05,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.1,4.21,6,3056.152084
0.05,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.2,4.21,6,3056.152084
0.05,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.3,4.21,6,3056.151866
0.05,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,4.21,6,3117.544571
0.05,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,4.21,6,3117.544571
0.05,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,4.21,6,3117.544462
0.05,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,4.21,6,3068.829368
0.05,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,4.21,6,3068.829368
0.05,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,4.21,6,3068.829368
0.1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,5.95,6,3495.030292
0.1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,5.95,6,3495.030292
0.1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,5.95,6,3495.030292
0.1,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.1,5.95,6,3396.623401
0.1,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.2,5.95,6,3396.623401
0.1,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.3,5.95,6,3396.623401
0.1,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,5.95,6,3460.351263
0.1,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,5.95,6,3460.351263
0.1,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,5.95,6,3460.351044
0.1,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,5.95,6,3411.099976
0.1,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,5.95,6,3411.099976
0.1,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,5.95,6,3411.099866
0.15,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,7.29,6,3920.55849
0.15,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,7.29,6,3920.55849
0.15,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,7.29,6,3920.55838
