Volume Fraction,y_test,y_pred
0.4,5631.5891,5608.199
0.45,6277.0171,6283.947
0.15,2822.8243,2835.3914
0.5,7173.2912,7166.0903
0.1,2615.5562,2612.9326
0.4,5309.9492,5319.354
0.5,14294.4082,13127.318
0.3,5256.2628,5280.893
0.15,3879.6188,3870.8835
0.5,7230.3831,7225.2646
0.45,6663.7116,6645.279
0.3,3947.0782,3960.4153
0.05,3068.8294,3068.327
0.2,3192.2176,3226.8025
0.4,7380.5627,7406.5127
0.2,3346.4359,3364.348
0.2,3149.3135,3167.115
0.3,4062.479,4081.6606
0.45,6207.0924,6268.6797
0.5,7452.516,7481.4116
0.35,4774.2455,4782.484
0.5,7237.6923,7260.0825
0.45,9773.7081,10118.535
0.5,7173.2912,7168.3633
0.1,2557.451,2557.4744
0.4,5581.7343,5605.5493
0.5,6893.194,6904.3125
0.4,5401.7803,5406.1665
0.5,9170.073,9174.521
0.1,2485.8023,2482.3508
0.15,2804.1386,2792.1843
0.45,7537.2075,7629.4404
0.35,6163.6221,6133.835
0.5,9974.4813,9997.332
0.3,5218.2018,5252.394
0.05,2228.8336,2225.1414
0.5,9974.4816,9991.907
0.35,6526.261,6509.947
0.05,3151.8657,3150.024
0.25,4901.6957,4913.896
0.45,6536.5574,6543.904
0.1,2626.8256,2635.8372
0.25,3662.074,3640.327
0.15,2946.5425,2942.1594
0.3,4059.4008,4083.9377
0.1,2534.1352,2528.6533
0.2,3277.6155,3289.5784
0.15,3879.6188,3870.8835
0.05,2435.1231,2434.3992
0.5,6946.5296,6953.1914
0.45,6707.197,6661.2036
0.4,6288.2238,6236.88
0.1,2685.0451,2695.5286
0.35,6226.8847,6268.728
0.45,6610.3404,6596.485
0.2,4415.7066,4338.5166
0.25,3589.5542,3561.564
0.5,11136.5915,11040.621
0.2,4336.3603,4356.7095
0.3,4059.4008,4083.3914
0.4,5558.5564,5567.7456
0.5,9974.4816,9998.629
0.35,4911.549,4884.543
0.2,4639.2243,4483.1543
0.35,4689.0982,4680.6973
0.1,2475.3799,2470.1597
0.3,5218.2018,5249.486
0.1,2665.2421,2674.2034
0.25,4968.7131,4969.633
0.35,6405.296,6417.504
0.35,5026.7082,5084.6895
0.2,4239.2335,4255.9517
0.25,3609.0141,3582.501
0.5,7230.3831,7240.578
0.05,3117.5446,3114.6086
0.2,3149.3135,3167.115
0.4,7545.7565,7564.3374
0.25,3771.6335,3764.4583
0.5,11558.3798,11650.271
0.45,6207.0922,6270.374
0.35,5355.1048,5381.051
0.4,5419.2583,5407.1963
0.45,6854.7546,6734.066
0.45,6207.0922,6272.0464
0.5,7491.599,7524.502
0.35,6592.6405,6450.195
0.25,3870.1757,3909.9844
0.2,4239.2337,4255.9517
0.2,3190.1853,3212.99
0.2,3262.788,3283.6672
0.25,4901.6957,4913.896
0.5,10968.0047,11000.214
0.35,4639.5566,4651.6807
0.35,4841.9324,4826.741
0.25,3698.8024,3676.4683
0.45,8208.0485,8195.088
0.15,3920.5585,3900.9382
0.3,3940.4342,3956.411
0.2,3244.8931,3285.2888
0.1,2557.4511,2557.4744
0.35,6226.8847,6265.82
0.3,4475.6743,4487.1245
0.3,4423.4143,4418.1597
0.35,6163.6224,6132.1406
0.15,2804.1386,2792.1843
0.3,5256.2628,5277.985
0.3,4018.5997,4014.6729
0.25,3698.8024,3675.9219
0.4,5586.8654,5642.473
0.3,4749.6377,4651.3013
0.3,5459.3605,5480.6133
0.15,3743.9993,3762.1729
0.45,6260.8782,6318.1953
0.05,2414.6431,2409.563
0.5,7069.4836,7061.924
0.15,2695.8933,2734.9246
0.2,3222.266,3254.3071
0.2,3244.8929,3285.2888
0.25,3793.5133,3838.0637
0.5,7683.497,7686.727
0.5,7387.3936,7438.5
0.05,2284.8842,2277.009
0.3,3914.1032,3928.4329
0.45,6260.8782,6322.83
0.15,3802.1139,3792.0952
0.45,6477.1318,6474.6694
0.2,4449.6821,4366.859
0.5,7002.6402,7001.985
