FT,y_test,y_pred
1,54.602,54.52405
1,80.211,79.94604
1,57.21,57.713474
1,75.765,75.98935
1,42.315,42.476433
1,77.733,78.73702
1,71.535,71.45648
1,173.5,173.25185
1,148.03,147.7942
1,62.425,61.611164
1,173.4,173.56056
1,65.408,65.834526
1,192.1,192.13701
1,61.085,61.082462
1,61.347,61.303596
1,147.85,148.15555
1,45.809,45.576412
1,41.371,41.481415
1,65.075,64.47873
1,158.04,158.70738
1,62.285,61.607197
1,78.5,77.94325
2,165.075,161.90855
2,144.92,145.32896
2,48.685,48.810726
2,57.775,57.993256
2,53.615,53.56695
2,58.395,58.466503
2,124.1,122.67026
2,75.525,74.59227
2,121.825,120.304794
2,41.435,41.361526
2,61.995,59.340935
2,55.875,56.256733
2,130.58,130.70216
2,52.66,53.08525
2,60.575,57.969517
2,41.975,41.479633
2,42.045,41.494843
2,57.385,56.92611
2,119.39,119.42827
2,37.2,37.290596
2,53.15,53.756905
2,123.64,122.35222
