FT,y_test,y_pred
1,0.0117,0.011807244
1,0.01478,0.014672241
1,0.00998,0.010017207
1,0.01626,0.016216494
1,0.01544,0.015607164
1,0.01243,0.012495923
1,0.01698,0.01702584
1,0.0285,0.028429361
1,0.04015,0.039842565
1,0.02764,0.027255412
1,0.02975,0.029530188
1,0.01812,0.017921975
1,0.0213,0.0217776
1,0.02492,0.024725035
1,0.02124,0.021222325
1,0.0397,0.03960319
1,0.01363,0.013206081
1,0.01675,0.016810397
1,0.01959,0.01922109
1,0.03095,0.030808654
1,0.02779,0.027334547
1,0.01454,0.014365467
2,0.01355,0.014582907
2,0.01683,0.016551416
2,0.00846,0.008947873
2,0.02793,0.027724368
2,0.02316,0.023606945
2,0.01129,0.011276683
2,0.03011,0.030207489
2,0.00878,0.009106931
2,0.02826,0.028781734
2,0.01024,0.010213883
2,0.00737,0.008271201
2,0.01244,0.012581747
2,0.02181,0.021916762
2,0.01561,0.015869804
2,0.00753,0.008325487
2,0.01138,0.011093729
2,0.01151,0.011156692
2,0.01408,0.014062575
2,0.03389,0.033874318
2,0.0158,0.015637482
2,0.01601,0.016247852
2,0.02979,0.030033665
