Volume Fraction,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Matrix Hardening Parameter,Temperature,Fiber Density,Fiber Elastic Modulus 1,Fiber Elastic Modulus 2,Fiber Elastic Modulus 3,Fiber Poisson 1,Fiber Poisson 2,Fiber Poisson 3,Fiber Shear 1,Fiber Shear 2,Fiber Shear 3,Yield Strength
0.01,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,253.8304162
0.02,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,253.800763
0.03,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,254.070637
0.04,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,252.4937081
0.05,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,259.7022301
0.06,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,259.8588558
0.07,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,261.0824012
0.08,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,265.5411397
0.09,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,265.9967224
0.1,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,276.7852408
0.11,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,267.5289588
0.12,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,273.8367753
0.13,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,271.0975325
0.14,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,272.6912811
0.15,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,266.0068299
0.16,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,257.9111662
0.17,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,254.32137
0.18,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,273.0675872
0.19,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,263.3709187
0.2,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,266.1116684
0.21,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,252.330553
0.22,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,249.3905557
0.23,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,250.2466897
0.24,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,234.5271958
0.25,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,239.2962228
0.26,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,248.5485346
0.27,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,275.0168032
0.28,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,277.2430628
0.29,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,274.7619807
0.3,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,269.6708776
0.31,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,270.077519
0.32,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,276.6704037
0.33,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,273.7997357
0.34,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,280.5768406
0.35,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,268.7903707
0.36,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,278.4963078
0.37,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,270.5622592
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,279.7666264
0.39,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,268.5365017
0.4,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,273.5096795
0.41,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,267.4477311
0.42,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,276.9580167
0.43,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,263.3118877
0.44,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,269.1955778
0.45,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,281.6479911
0.46,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,273.6239746
0.47,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,279.0993046
0.48,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,281.2653425
0.49,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,290.8060079
0.5,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,280.0795695
0.01,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,142.6224366
0.02,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,139.8723815
0.03,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,179.220195
0.04,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,179.2518065
0.05,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,178.0205956
