em_pred,em_test,Strain Rate
5600.211429,5600.323858,3.53888E-07
5803.183936,5838.200651,4.05413E-07
5572.244282,5645.087333,3.08138E-07
5443.529061,5424.920011,4.02125E-07
2433.921291,2509.8165,4.82875E-07
5589.049356,5592.003956,3.54413E-07
2596.248237,2612.464854,5.34863E-07
3003.834346,3057.314222,3.07805E-07
3028.796258,2971.161212,3.983E-07
2387.870815,2374.258222,3.00263E-07
3562.422864,3444.789833,4.15175E-07
2598.197624,2617.84595,5.33763E-07
3012.492833,3063.832722,3.0715E-07
5658.859365,5709.761977,4.04538E-07
3315.192675,3340.437933,2.0915E-07
5159.569454,5113.912178,3.37363E-07
5479.658161,5266.623629,7.20138E-07
3506.845089,3361.957764,4.07138E-07
5648.774098,5704.49828,4.04913E-07
3318.373239,3344.721933,2.08888E-07
