Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature (K),Filler Density (kg/m^3),Filler Elastic Modulus 1,Filler Poisson 1,Resilience
0.38,1490,2542.372881,106.557377,0.444529483,298,1770,220000,0.2,1.702465093
0.38,1490,2662.557781,252.04918,0.545587608,233,2540,75000,0.2,7.697340163
0.38,1490,2576.271186,79.918033,0.346129167,333,2540,75000,0.2,1.182691957
0.38,1490,2621.468927,149.590164,0.431151575,273,1470,150000,0.35,2.809375731
0.38,1490,1152.542373,43.032787,0.277230974,393,1470,150000,0.35,0.667993379
0.38,1490,2542.372881,106.557377,0.444529483,298,2530,85000,0.35,1.830437414
0.37,1200,1186.206897,89.655172,0.22999764,233,1770,220000,0.2,1.453425143
0.37,1200,1396.551724,62.068966,0.346699482,333,1770,220000,0.2,0.743778322
0.37,1200,1354.231975,77.586207,0.23256682,273,2540,75000,0.2,1.142382688
0.37,1200,1075.862069,46.551724,0.285243921,393,2540,75000,0.2,2.116453097
0.37,1200,1655.172414,67.241379,0.544620657,298,1470,150000,0.35,0.970180174
0.37,1200,1186.206897,89.655172,0.22999764,233,2530,85000,0.35,1.485791411
0.37,1200,1396.551724,62.068966,0.346699482,333,2530,85000,0.35,0.772227369
0.36,1180,2742.622951,149.590164,0.431151575,273,1770,220000,0.2,1.557854221
0.36,1180,1567.213115,43.032787,0.277230974,393,1770,220000,0.2,3.067003233
0.36,1180,2448.770492,106.557377,0.444529483,298,2540,75000,0.2,0.557002921
0.36,1180,2658.665105,252.04918,0.545587608,233,1470,150000,0.35,1.664609857
0.36,1180,1652.920082,79.918033,0.346129167,333,1470,150000,0.35,7.570042266
0.36,1180,2742.622951,149.590164,0.431151575,273,2530,85000,0.35,1.648538866
0.36,1180,1567.213115,43.032787,0.277230974,393,2530,85000,0.35,0.588435732
