Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature (K),Filler Density (kg/m^3),Filler Elastic Modulus 1,Filler Poisson 1,Resilience
0.38,1490,2662.557781,252.04918,0.545587608,233,1770,220000,0.2,7.060982633
0.38,1490,2621.468927,149.590164,0.431151575,273,1770,220000,0.2,2.890040577
0.38,1490,2576.271186,79.918033,0.346129167,333,1770,220000,0.2,1.100331739
0.38,1490,1152.542373,43.032787,0.277230974,393,1770,220000,0.2,0.697607479
0.38,1490,2621.468927,149.590164,0.431151575,273,2540,75000,0.2,3.120846383
0.38,1490,2542.372881,106.557377,0.444529483,298,2540,75000,0.2,1.841587579
0.38,1490,1152.542373,43.032787,0.277230974,393,2540,75000,0.2,0.705558156
0.38,1490,2662.557781,252.04918,0.545587608,233,1470,150000,0.35,6.958052331
0.38,1490,2542.372881,106.557377,0.444529483,298,1470,150000,0.35,1.65502693
0.38,1490,2576.271186,79.918033,0.346129167,333,1470,150000,0.35,1.070281645
0.38,1490,2662.557781,252.04918,0.545587608,233,2530,85000,0.35,7.654009875
0.38,1490,2621.468927,149.590164,0.431151575,273,2530,85000,0.35,3.104311033
0.38,1490,2576.271186,79.918033,0.346129167,333,2530,85000,0.35,1.200071669
0.38,1490,1152.542373,43.032787,0.277230974,393,2530,85000,0.35,0.703451967
0.37,1200,1354.231975,77.586207,0.23256682,273,1770,220000,0.2,1.099820965
0.37,1200,1655.172414,67.241379,0.544620657,298,1770,220000,0.2,0.997162372
0.37,1200,1075.862069,46.551724,0.285243921,393,1770,220000,0.2,2.242805278
0.37,1200,1186.206897,89.655172,0.22999764,233,2540,75000,0.2,1.490330596
0.37,1200,1655.172414,67.241379,0.544620657,298,2540,75000,0.2,1.033789746
0.37,1200,1396.551724,62.068966,0.346699482,333,2540,75000,0.2,0.774154777
0.37,1200,1186.206897,89.655172,0.22999764,233,1470,150000,0.35,1.437170076
0.37,1200,1354.231975,77.586207,0.23256682,273,1470,150000,0.35,1.039992584
0.37,1200,1396.551724,62.068966,0.346699482,333,1470,150000,0.35,0.735213335
0.37,1200,1075.862069,46.551724,0.285243921,393,1470,150000,0.35,2.257145561
0.37,1200,1354.231975,77.586207,0.23256682,273,2530,85000,0.35,1.137237831
0.37,1200,1655.172414,67.241379,0.544620657,298,2530,85000,0.35,1.030733645
0.37,1200,1075.862069,46.551724,0.285243921,393,2530,85000,0.35,7.098645458
0.36,1180,2658.665105,252.04918,0.545587608,233,1770,220000,0.2,1.759702193
0.36,1180,2448.770492,106.557377,0.444529483,298,1770,220000,0.2,0.53797034
0.36,1180,1652.920082,79.918033,0.346129167,333,1770,220000,0.2,7.675192203
0.36,1180,2658.665105,252.04918,0.545587608,233,2540,75000,0.2,1.876590328
0.36,1180,2742.622951,149.590164,0.431151575,273,2540,75000,0.2,1.656134368
0.36,1180,1652.920082,79.918033,0.346129167,333,2540,75000,0.2,6.851440623
0.36,1180,1567.213115,43.032787,0.277230974,393,2540,75000,0.2,2.692066829
0.36,1180,2742.622951,149.590164,0.431151575,273,1470,150000,0.35,1.548644474
0.36,1180,2448.770492,106.557377,0.444529483,298,1470,150000,0.35,0.516423209
0.36,1180,1567.213115,43.032787,0.277230974,393,1470,150000,0.35,3.025912166
0.36,1180,2658.665105,252.04918,0.545587608,233,2530,85000,0.35,1.866182826
0.36,1180,2448.770492,106.557377,0.444529483,298,2530,85000,0.35,1.92343113
0.36,1180,1652.920082,79.918033,0.346129167,333,2530,85000,0.35,1.706749067
