res_pred,res_rest,sr_test
1.851947598,1.702465093,3.54E-07
4.070890396,7.697340163,4.05E-07
1.63348668,1.182691957,3.08E-07
2.529237207,2.809375731,4.02E-07
1.346657517,0.667993379,4.83E-07
1.86569206,1.830437414,3.54E-07
1.303655814,1.453425143,5.35E-07
1.219556082,0.743778322,3.08E-07
1.289035147,1.142382688,3.98E-07
1.300543266,2.116453097,3.00E-07
0.976744733,0.970180174,4.15E-07
1.317400276,1.485791411,5.34E-07
1.233300544,0.772227369,3.07E-07
1.954168637,1.557854221,4.05E-07
0.771588948,3.067003233,2.09E-07
1.290623491,0.557002921,3.37E-07
3.523310751,1.664609857,7.20E-07
1.085907035,7.570042266,4.07E-07
1.9679131,1.648538866,4.05E-07
0.78533341,0.588435732,2.09E-07
