Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature (K),Filler Density (kg/m^3),Filler Elastic Modulus 1,Filler Elastic Modulus 2,Filler Elastic Modulus 3,Filler Poisson 1,Filler Poisson 2,Filler Poisson 3,Filler Shear 1,Filler Shear 2,Filler Shear 3,Resilience
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.060982633
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2.890040577
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1.702465093
0.38,1490,2576.271186,0.38,79.918033,0.346129167,333,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1.100331739
0.38,1490,1152.542373,0.38,43.032787,0.277230974,393,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,0.697607479
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,7.697340163
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.120846383
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,1.841587579
0.38,1490,2576.271186,0.38,79.918033,0.346129167,333,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,1.182691957
0.38,1490,1152.542373,0.38,43.032787,0.277230974,393,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,0.705558156
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,6.958052331
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,2.809375731
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,1.65502693
0.38,1490,2576.271186,0.38,79.918033,0.346129167,333,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,1.070281645
0.38,1490,1152.542373,0.38,43.032787,0.277230974,393,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,0.667993379
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,7.654009875
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.104311033
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.830437414
0.38,1490,2576.271186,0.38,79.918033,0.346129167,333,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.200071669
0.38,1490,1152.542373,0.38,43.032787,0.277230974,393,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,0.703451967
0.37,1200,1186.206897,0.37,89.655172,0.22999764,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1.453425143
0.37,1200,1354.231975,0.37,77.586207,0.23256682,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1.099820965
0.37,1200,1655.172414,0.37,67.241379,0.544620657,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,0.997162372
0.37,1200,1396.551724,0.37,62.068966,0.346699482,333,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,0.743778322
0.37,1200,1075.862069,0.37,46.551724,0.285243921,393,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2.242805278
0.37,1200,1186.206897,0.37,89.655172,0.22999764,233,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,1.490330596
0.37,1200,1354.231975,0.37,77.586207,0.23256682,273,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,1.142382688
0.37,1200,1655.172414,0.37,67.241379,0.544620657,298,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,1.033789746
0.37,1200,1396.551724,0.37,62.068966,0.346699482,333,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,0.774154777
0.37,1200,1075.862069,0.37,46.551724,0.285243921,393,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,2.116453097
0.37,1200,1186.206897,0.37,89.655172,0.22999764,233,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,1.437170076
0.37,1200,1354.231975,0.37,77.586207,0.23256682,273,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,1.039992584
0.37,1200,1655.172414,0.37,67.241379,0.544620657,298,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,0.970180174
0.37,1200,1396.551724,0.37,62.068966,0.346699482,333,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,0.735213335
0.37,1200,1075.862069,0.37,46.551724,0.285243921,393,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,2.257145561
0.37,1200,1186.206897,0.37,89.655172,0.22999764,233,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.485791411
0.37,1200,1354.231975,0.37,77.586207,0.23256682,273,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.137237831
0.37,1200,1655.172414,0.37,67.241379,0.544620657,298,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.030733645
0.37,1200,1396.551724,0.37,62.068966,0.346699482,333,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,0.772227369
0.37,1200,1075.862069,0.37,46.551724,0.285243921,393,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,7.098645458
0.36,1180,2658.665105,0.36,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1.759702193
0.36,1180,2742.622951,0.36,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,1.557854221
0.36,1180,2448.770492,0.36,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,0.53797034
0.36,1180,1652.920082,0.36,79.918033,0.346129167,333,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,7.675192203
0.36,1180,1567.213115,0.36,43.032787,0.277230974,393,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.067003233
0.36,1180,2658.665105,0.36,252.04918,0.545587608,233,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,1.876590328
0.36,1180,2742.622951,0.36,149.590164,0.431151575,273,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,1.656134368
0.36,1180,2448.770492,0.36,106.557377,0.444529483,298,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,0.557002921
0.36,1180,1652.920082,0.36,79.918033,0.346129167,333,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,6.851440623
0.36,1180,1567.213115,0.36,43.032787,0.277230974,393,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,2.692066829
0.36,1180,2658.665105,0.36,252.04918,0.545587608,233,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,1.664609857
0.36,1180,2742.622951,0.36,149.590164,0.431151575,273,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,1.548644474
0.36,1180,2448.770492,0.36,106.557377,0.444529483,298,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,0.516423209
0.36,1180,1652.920082,0.36,79.918033,0.346129167,333,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,7.570042266
0.36,1180,1567.213115,0.36,43.032787,0.277230974,393,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,3.025912166
0.36,1180,2658.665105,0.36,252.04918,0.545587608,233,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.866182826
0.36,1180,2742.622951,0.36,149.590164,0.431151575,273,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.648538866
0.36,1180,2448.770492,0.36,106.557377,0.444529483,298,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.92343113
0.36,1180,1652.920082,0.36,79.918033,0.346129167,333,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,1.706749067
0.36,1180,1567.213115,0.36,43.032787,0.277230974,393,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,0.588435732
