toughness_pred,toughness_test,sr_test
4.642346487,4.569853836,3.54E-07
13.45749939,14.4853999,4.05E-07
4.153197429,3.549648962,3.08E-07
6.26400727,6.555915258,4.02E-07
5.208887665,1.840063316,4.83E-07
4.520819389,4.806273342,3.54E-07
4.136017677,3.483640918,5.35E-07
3.07390473,1.958573426,3.08E-07
3.641925821,2.998051954,3.98E-07
7.125478656,4.554287234,3.00E-07
4.873360015,2.490831912,4.15E-07
4.026316415,3.575555348,5.34E-07
2.583172716,2.00314676,3.07E-07
4.353402244,3.974589198,4.05E-07
7.700981041,7.078952672,2.09E-07
3.207417053,1.759237216,3.37E-07
5.176905375,4.49886427,7.20E-07
4.755039342,14.38145594,4.07E-07
4.270921216,4.101959,4.05E-07
8.401604277,1.787407338,2.09E-07
