Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature (K),Filler Density (kg/m^3),Filler Elastic Modulus 1,Filler Poisson 1,Yield Strength
0.38,1490,2662.557781,252.04918,0.545587608,233,1770,220000,0.2,279.7666264
0.38,1490,2621.468927,149.590164,0.431151575,273,1770,220000,0.2,175.4154828
0.38,1490,2576.271186,79.918033,0.346129167,333,1770,220000,0.2,104.5734779
0.38,1490,1152.542373,43.032787,0.277230974,393,1770,220000,0.2,56.81092274
0.38,1490,2621.468927,149.590164,0.431151575,273,2540,75000,0.2,182.1232561
0.38,1490,2542.372881,106.557377,0.444529483,298,2540,75000,0.2,135.6216663
0.38,1490,1152.542373,43.032787,0.277230974,393,2540,75000,0.2,57.18544254
0.38,1490,2662.557781,252.04918,0.545587608,233,1470,150000,0.35,269.5939704
0.38,1490,2542.372881,106.557377,0.444529483,298,1470,150000,0.35,125.4648032
0.38,1490,2576.271186,79.918033,0.346129167,333,1470,150000,0.35,100.0976224
0.38,1490,2662.557781,252.04918,0.545587608,233,2530,85000,0.35,291.8426495
0.38,1490,2621.468927,149.590164,0.431151575,273,2530,85000,0.35,181.4285623
0.38,1490,2576.271186,79.918033,0.346129167,333,2530,85000,0.35,109.7168319
0.38,1490,1152.542373,43.032787,0.277230974,393,2530,85000,0.35,57.08498953
0.37,1200,1354.231975,77.586207,0.23256682,273,1770,220000,0.2,85.09903729
0.37,1200,1655.172414,67.241379,0.544620657,298,1770,220000,0.2,80.8949155
0.37,1200,1075.862069,46.551724,0.285243921,393,1770,220000,0.2,54.50634206
0.37,1200,1186.206897,89.655172,0.22999764,233,2540,75000,0.2,102.5165701
0.37,1200,1655.172414,67.241379,0.544620657,298,2540,75000,0.2,84.09805592
0.37,1200,1396.551724,62.068966,0.346699482,333,2540,75000,0.2,72.81171012
0.37,1200,1186.206897,89.655172,0.22999764,233,1470,150000,0.35,96.75125845
0.37,1200,1354.231975,77.586207,0.23256682,273,1470,150000,0.35,82.2676308
0.37,1200,1396.551724,62.068966,0.346699482,333,1470,150000,0.35,69.90769137
0.37,1200,1075.862069,46.551724,0.285243921,393,1470,150000,0.35,52.47856024
0.37,1200,1354.231975,77.586207,0.23256682,273,2530,85000,0.35,88.60873657
0.37,1200,1655.172414,67.241379,0.544620657,298,2530,85000,0.35,83.86529978
0.37,1200,1075.862069,46.551724,0.285243921,393,2530,85000,0.35,55.76375142
0.36,1180,2658.665105,252.04918,0.545587608,233,1770,220000,0.2,276.8433519
0.36,1180,2448.770492,106.557377,0.444529483,298,1770,220000,0.2,130.1693568
0.36,1180,1652.920082,79.918033,0.346129167,333,1770,220000,0.2,101.606201
0.36,1180,2658.665105,252.04918,0.545587608,233,2540,75000,0.2,287.1984545
0.36,1180,2742.622951,149.590164,0.431151575,273,2540,75000,0.2,178.8969042
0.36,1180,1652.920082,79.918033,0.346129167,333,2540,75000,0.2,105.8514643
0.36,1180,1567.213115,43.032787,0.277230974,393,2540,75000,0.2,58.6825641
0.36,1180,2742.622951,149.590164,0.431151575,273,1470,150000,0.35,166.0235784
0.36,1180,2448.770492,106.557377,0.444529483,298,1470,150000,0.35,124.0901985
0.36,1180,1567.213115,43.032787,0.277230974,393,1470,150000,0.35,54.99428144
0.36,1180,2658.665105,252.04918,0.545587608,233,2530,85000,0.35,285.7906041
0.36,1180,2448.770492,106.557377,0.444529483,298,2530,85000,0.35,133.5553314
0.36,1180,1652.920082,79.918033,0.346129167,333,2530,85000,0.35,105.2682132
